"actionType","countInSample","frequency","hasScore","hasWinner","description"
"SL","1","Once per match","N","N","Service lot / side selection pre-match"
"SSD","1","Once per game","N","N","Server selected draw"
"SSR","~20","Every 2 pts","N","N","Server selection rotate"
"LV","1","Once per game","N","N","Live status confirmation"
"STP","~90","After every event","Y","N","State position update - scaffolding event"
"PT","~60","Per point","Y","Y","Point scored - PRIMARY ingestion target"
"GPOINT","4","When game pt situation","Y","Y","Game point notification (fired separately from PT)"
"UGR","2","End of each game","Y","Y","Updated game result - game final score"
"IM","2","Start of each game","N","Y (prev)","Intermediate / game transition"
"YC","1","When issued","Y","N","Yellow card (cardType=YC, cardIssuedTo=H/A)"
"TO","2","2 per timeout","Y","N","Timeout START and END events (compTimeout field tracks used)"
"LET","1","When called","Y","N","Let - score unchanged, rally replayed"
"MPOINT","2","When match pt situation","Y","Y","Match point notification (like GPOINT but for match)"
