"seqNo","actionType","period","server","receiver","isWinner","scoreH","scoreA","actionedFor","gamePoint","matchPoint","championshipPoint","cardType","cardIssuedTo","timeoutRequestedBy","timeoutStatus","description"
"1","SL","","","","","0","0","","","","","","","","","Service lot / side selection (pre-match)"
"2","SSD","G1","200863","200156","","0","0","","","","","","","","","Server selected - SZABO serves first G1"
"3","SSR","G1","200863","200156","","0","0","","","","","","","","","Server rotation (every 2 pts)"
"4","LV","G1","200156","200863","","0","0","","","","","","","","","Live status - match active"
"5","STP","G1","200156","200863","","0","0","","","","","","","","","State position update (emitted after every event)"
"6","PT","G1","200156","200863","H","1","0","H","","","","","","","","Point - SZABO wins"
"8","PT","G1","200863","200156","A","1","1","A","","","","","","","","Point - KRIVOKAPIC wins"
"51","PT","G1","200863","200156","A","9","10","A","A","","","","","","","PT + gamePoint flag set to A (game point situation)"
"52","GPOINT","G1","200863","200156","A","9","10","","A","","","","","","","Game point notification event (separate from PT)"
"65","GPOINT","G1","200863","200156","H","12","11","","H","","","","","","","Game point notification - SZABO at 12-11"
"70","UGR","G1","200156","200863","H","13","11","","","","","","","","","Updated Game Result - G1 final: SZABO 13-11"
"71","IM","G2","200863","200156","H","0","0","","","","","","","","","Intermediate - Game 2 begins, score resets"
"94","YC","G2","200863","200156","","6","3","","","","","YC","A","","","Yellow card - KRIVOKAPIC (Away) at 6-3"
"120","GPOINT","G2","200156","200863","H","10","9","","H","","","","","","","Game point - SZABO at 10-9 in G2"
"124","UGR","G2","200863","200156","H","11","9","","","","","","","","","Updated Game Result - G2 final: SZABO 11-9"
"125","IM","G3","200156","200863","H","0","0","","","","","","","","","Intermediate - Game 3 begins"
"148","TO","G3","200156","200863","","5","4","","","","","","","A","START","Timeout START - KRIVOKAPIC (Away) requests at 5-4"
"149","TO","G3","200156","200863","","5","4","","","","","","","A","END","Timeout END (same score, play resumes)"
"161","LET","G3","200156","200863","","7","6","","","","","","","","","Let called - rally replayed (score unchanged)"
"176","PT","G3","200863","200156","H","10","9","H","H","H","200863","","","","","PT with matchPoint+gamePoint+championshipPoint flags set (SZABO match point)"
"177","MPOINT","G3","200863","200156","H","10","9","","H","H","200863","","","","","Match point notification (separate event like GPOINT)"
"186","PT","G3","200863","200156","H","12","10","H","","","","","","","","Latest action (seq 186, match ongoing - SZABO leading G3 12-10)"
